col,código_material,preço_real,qtde_mín,descrição,modelo,comentário,col,col,col,col,col
,4008-710-2102,111.76,1,Cabeçote de corte PolyCut 2-2,FSA45,,,,,,
,4002-710-2198,120.1,1,Cabeçote de corte TrimCut C 32-2,KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250,,,,,,
,4003-710-2122,134.24,1,Cabeçote de corte TrimCut C 42-2,FS160/220/280/290/300/350/380/460,,,,,,
,4009-710-2100,116.01,1,Cabeçote de corte AutoCut C 3-2,FSA57,,,,,,
,4008-710-2100,170.97,1,Cabeçote de corte AutoCut 2-2,FSA56,,,,,,
,4006-710-2121,83.64,1,Cabeçote de corte AutoCut C 4-2,FSA65/85,,,,,,
,4006-710-2126,88.03,1,Cabeçote de corte AutoCut C 6-2,FS38/FSE60,,,,,,
,4004-710-2105,105.26,1,Cabeçote de corte AutoCut 11-2,FS75/FE55,,,,,,
,4002-710-2169,112.63,1,Cabeçote de corte AutoCut C 26-2,KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250,,,,,,
,4002-820-2302,149.7,1,Cabeçote de corte AutoCut 27-2,FS55/55R/80/85/120/131/FSA 135/ KMA 135,,,,,,
,4003-710-2115,156.58,1,Cabeçote de corte AutoCut 46-2,FS160/220/280/290/300/350/380/460,,,,,,
,4002-710-2162,119.77,1,Cabeçote de corte SuperCut 20-2,KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250,,,,,,
,4002-007-1000,31.07,1,Jogo Lâmina (12 peças),"PolyCut 6-2, 28-2 e 48-2",,,,,,
,4008-007-1000,18.49,1,Jogo Lâmina (8 peças),FSA45/85,,,,,,
,6235-710-4305,57.52,1,Carretel com rosca,Cj.corte nylon- FSE41,,,,,,
,4002-820-2300,146.8,1,Cabeçote de corte PolyCut 28-2,FS55/55R/80/85/120/131//KA85R/120R/KM85R,,,,,,
,4003-710-2126,169.59,1,Cabeçote de corte PolyCut 48-2,FS160/220/290/300/350,,,,,,
,4002-710-2182,208.82,1,Cabeçote de corte DuroCut 20-2,FS55/55R/80/85/120/131,,,,,,
,4005-710-2114,278.36,1,Cabeçote de corte DuroCut 40-4,FS160/220/290/300/350/380,,,,,,
,4001-710-2105,100.48,1,Cabeçote de corte FixCut 31-2,FS55/55R/80/85/120/131,,,,,,
FIOS DE CORTE,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,"Peso
[Kg]",,,,,
,0000-930-2284,24.69,1,"Fio corte red. Ø 1,4 mm x 16,0 m trs",FSE41,0.053,,,,,
,0000-930-2415,29.44,1,"Fio corte red.sil. Ø 1,6 mm x 19,0 m",FSA45/56,0.093,,,,,
,0000-930-2416,36.31,1,"Fio corte red.sil. Ø 2,0 mm x 14,0 m vd",FS75/FE55/FSE65/38,0.101,,,,,
,0000-930-3614,11.74,1,"Fio corte red. Ø 2,0 mm x 15,3 m vd",FS38/75/FE55/FSE65,0.065,,,,,
,0000-930-3615,72.36,1,"Fio corte red. Ø 2,0 mm x 123,0 m vd",FS38/75/FE55/FSE65,0.51,,,,,
,0000-930-3616,22.74,1,"Fio corte red. Ø 2,4 mm x 15,3 m la",KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250/220/350/380/460,0.085,,,,,
,0000-930-2419,28.52,1,"Fio corte red.sil. Ø 2,4 mm x 14,0 m la",KA85R/KM55R/85R/FS55/E65/80/85/85R/86/88/106/108/120/130/250/FR85/106/108/220/350/380/460,0.124,,,,,
,0000-930-3617,74.78,1,"Fio corte red. Ø 2,4 mm x 87,0 m la",KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250/220/350/380/460,0.51,,,,,
,0000-930-3618,173.73,1,"Fio corte red. Ø 2,4 mm x 261,0 m la",KA85R/KM55R/85R/FR85/220/E65/FS55/80/85/106/108/120/130/250/220/350/380/460,1.655,,,,,
,0000-930-3619,410.18,1,"Fio corte red. Ø 2,4 mm x 688,0 m la",FR85/220/E65/FS55/80/85/106/108/120/130/250/220/350/380/460,4,,,,,
,0000-930-2422,23.59,1,"Fio corte red.sil. Ø 2,7 mm x 9,0 m vm",FS160/220/280/290/300/350/380/460,0.12,,,,,
,0000-930-3620,13.95,1,"Fio corte red. Ø 2,7 mm x 10,9 m vm",FS160/220/280/290/300/350/380/460,0.08,,,,,
,0000-930-3621,70.07,1,"Fio corte red. Ø 2,7 mm x 72,0 m vm",FS160/220/280/290/300/350/380/460,0.51,,,,,
,0000-930-3622,183.67,1,"Fio corte red. Ø 2,7 mm x 215,0 m vm",FS160/220/280/290/300/350/380/460,1.65,,,,,
,0000-930-3623,375.56,1,"Fio corte red. Ø 2,7 mm x 512,0 m vm",FS160/220/280/290/300/350/380/460,3.765,,,,,
,0000-930-3624,287.49,1,"Fio corte red. Ø 3,0 mm x 300,0 m am",FS160/220/280/290/300/350/380/460,2.71,,,,,
,0000-930-3800,310.25,1,"Fio corte qua. Ø 3,0 mm x 312,0 m am",FS160/220/280/290/300/350/380/460,2.771,,,,,
,0000-930-3801,315.82,1,"Fio corte qua. Ø 3,3 mm x 228,0 m preto",TrimCut 31-2/TrimCut 41-2/AutoCut 46-2,2.34,,,,,
,0000-930-3504,42.5,1,"Fio corte dentado Ø 3,0 mm x 0,185 m",DuroCut 20-2; DuroCut 40-4,,,,,,
,0000-930-3505,51.56,1,"Fio corte dentado Ø 4,0 mm x 0,215 m",DuroCut 40-4,,,,,,
,0000-930-4303,117.22,1,"Fio corte CF3 Pro Ø 2,4 mm x 70,0 m 3K",AutoCut C 6-2; AutoCut 25-2; AutoCut C 26-2; AutoCut 46-2; TrimCut C32-2; TrimCut C 42-2; SuperCut 20-2; FixCut 31-2; DuroCut 20-2;,,,,,,
,0000-930-4304,111.73,1,"Fio corte CF3 Pro Ø 2,7 mm x 53,0 m 3K",AutoCut 25-2; AutoCut C 26-2; AutoCut 46-2; TrimCut C 32-2; TrimCut C42-2; SuperCut 20-2; FixCut 31-2; DuroCut 20-2; DuroCut 40-4,,,,,,
