col,código_material,preço_real,qtde_min,descrição,vazão_máxima_l_h,pressão_máxima_bar,pressão_de_trabalho_bar,potência_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabeçote_da_bomba
,RE02-011-4506,819,1,"RE 80.0 X Lavadora de alta pressão, 127",450,100,70,1.5,Universal,7,5,Alumínio
,RE02-011-4507,819,1,"RE 80.0 X Lavadora de alta pressão, 220",430,120,90,1.7,Universal,7,5,Alumínio
RE 80,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Tipo de motor,"Peso 
[kg]",Comprimento da mangueira [m],Cabeçote da bomba
,RE02-011-4513,929,1,"RE 80.0 Lavadora de alta pressão, 127 V",450,100,70,1.5,Universal,7.5,5,Alumínio
,RE02-011-4514,929,1,"RE 80.0 Lavadora de alta pressão, 220 V",430,120,90,1.7,Universal,7.5,5,Alumínio
RE 90.0,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Tipo de motor,"Peso 
[kg]",Comprimento da mangueira [m],Cabeçote da bomba
,RE02-011-4519,1129,1,"RE 90.0 Lavadora de alta pressão, 127 V",450,100,72,1.5,Universal,8,6,Alumínio
,RE02-011-4539,1129,1,"RE 90.0 Lavadora de alta pressão, 220 V",440,130,100,2.1,Universal,8,6,Alumínio
RE 90 Plus,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Tipo de motor,"Peso 
[kg]",Comprimento da mangueira [m],Cabeçote da bomba
,RE02-011-4525,1249,1,"RE 90.0 PLUS Lav. de alta pressão,127V",450,100,72,1.5,Universal,9,6,Alumínio
,RE02-011-4528,1249,1,"RE 90.0 PLUS Lav. de alta pressão, 220V",440,130,100,2.1,Universal,9,6,Alumínio
RE 100,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Tipo de motor,"Peso 
[kg]",Comprimento da mangueira [m],Cabeçote da bomba
,4950-011-4504,1969,1,"RE 100 Lavadora de alta pressão, 127 V",440,130,95,1.6,Indução ,16.5,7,Alumínio
,4950-011-4505,1969,1,"RE 100 Lavadora de alta pressão, 220 V",510,140,100,1.7,Indução ,16.5,7,Alumínio
RE 110,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Modelo,"Peso 
[kg]",Comprimento da mangueira [m],
,4950-011-4527,1649,1,"RE 110 Lavadora de alta pressão, 127 V",440,130,95,1.6,RE 110 - 127V,17.6,7,
RE 110 PLUS,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Modelo,"Peso 
[kg]",Comprimento da mangueira [m],
,4950-011-4538,2399,1,RE 110 PLUS 127 V Lavadora de alta,440/510,130/140,95/100,"1,6/1,7",RE 110 PLUS - 127V,17.95,8,
,4950-011-4539,2399,1,RE 110 PLUS 220 V Lavadora de alta,,,,,RE 110 PLUS - 220V,,,
RE 145,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Modelo,"Peso 
[kg]",Comprimento da mangueira [m],
,4950-011-4591,2889,1,"RE 145.0 Lavadora de alta pressão, 127 V",440,130,95,1.6,RE 145 - 127 V,18.5,8,
,4950-011-4592,2889,1,"RE 145.0 Lavadora de alta pressão, 220 V",580,160,110,2.3,RE 145 - 220V,19.7,8,
RE 150,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Vazão Máxima [l/h],Pressão máxima [bar],Pressão de trabalho [bar],Potência [kw],Modelo,"Peso 
[kg]",Comprimento da mangueira [m],
,RE01-011-4513,4199,1,RE 150.0 Lavadora de alta pressão,600,180,130,2.8,RE 150 - 220V,30,9,
ACESSÓRIOS DE LAVADORAS,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Observações,,,Modelos,,,
,4950-500-1605,69.36,1,"Bico turbo Ø 1,04 mm",,Bico turbo branco,,,RE90/95/110 - 110V/220V,,,
,4951-530-0006,63.59,1,Bico chato,,Bico leque azul,,,RE90 110V,,,
,4951-530-0005,63.59,1,Bico chato,,Bico leque amarelo,,,RE90 220V,,,
,4951-530-0007,55.38,1,Bico chato,,Bico leque turquesa,,,RE95 127V,,,
,4951-530-0009,56.38,1,Bico chato,,Bico leque branco,,,RE95 220V,,,
,4950-500-1607,69.36,1,"Bico turbo Ø 1,10 mm, azul",,Bico turbo azul,,,RE 110 - 110V/220V,,,
,4930-530-0022,57.9,1,"Bico chato  Ø 1,28 mm, azul claro",,Bico leque azul,,,RE110,,,
,4900-500-1630,161.1,1,Bico turbo verde,,Bico Turbo Verde,,,RE88/98/109-127V/220V,,,
,4900-500-6322,71.76,1,Bico leque turquesa,,Bico Leque Turquesa,,,RE88-127V - RE109-127V/220V,,,
,4900-500-6320,71.76,1,Bico leque amarelo,,Bico Leque Amarelo,,,RE88-220V - RE98-127V/220V,,,
,4900-500-1698,86.9,1,Bico turbo turquesa,,Bico Turbo Turquesa,,,RE98-127V,,,
,4900-500-6321,224.1,1,Bico leque verde,,Bico Leque Verde,,,RE108-127V,,,
,4900-500-6325,152.9,1,Bico leque rosa,,Bico Leque Pink,,,RE108-220V,,,
,4900-500-1677,327.19,1,Bico turbo,,Bico Turbo Cinza,,,RE143 - 220V,,,
,4915-500-3824,518.47,1,Bico Leque Azul RE143 -220V,,Bico Leque Azul,,,RE143 - 220V - Leque,,,
,RE01-500-1624,115.84,1,Bico Turbo 220V/60Hz,,,,,Substitui RE01-500-1620RE150,,,
,4925-500-3811,224.1,1,Bico leque,,Bico Leque de jatear,,,RE230/232 - 220V,,,
,4900-500-1641,413.1,1,Bico turbo W12 040,,Bico Turbo,,,RE230/232 - 220V,,,
,4910-500-9600,197.1,1,Bico de espuma,,,,,RE90/110,,,
,4910-500-9601,197.1,1,Bico de espuma,,,,,RE143/150,,,
,4925-500-9600,219,1,Bico de espuma,,,,,Recipientes de 1 litro com jato regulávelRE230,,,
,4910-500-0801,219.01,1,Mangueira de alta pressão DN06 7 m,,,,,RE80X/80/90.0/90Plus/90/95/110,,,
,4910-500-1900,368.1,1,"Lança de jatear angular 1,08 m",,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4910-500-0802,409,1,Mangueira de alta pressão DN06 9 m,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4910-500-0500,289,1,Mangueira de aspiração 3 m,,,,,RE88/98/90/95/109/110/143/150/330/232,,,
,4910-500-1800,353.28,1,Dispositivo de jateamento com líquido,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4910-500-8000,278.99,1,Jogo de limpeza de tubos 15 m,,,,,RE88/90/95/98/109/110/143/150,,,
,4910-500-3902,289.01,1,Lavadora superficial RA 90,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4910-500-3901,349,1,Lavadora superficial RA 110,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4925-500-5900,1163.76,1,Escova rotativa,,,,,RE230/RE232,,,
,4910-500-5900,319.05,1,Escova rotativa,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4900-500-5401,186.25,1,Filtro de água,,,,,Todas as lavadoras,,,
,4900-500-5405,263.27,1,Filtro de água,,,,,RE232,,,
,4910-500-5400,70.18,1,Filtro de água,,,,,RE80X/80/90.0/90Plus/90/95/110,,,
,4910-500-8600,375.2,1,Mangueira plana com carretel fixo,,Suporte para fixação nas lavadoras RE 109: 4900-501-2001 e RE 110: 4950-790-5400,,,RE80X/80/90.0/90Plus/90/95/110/143/150/232,,,
,4900-500-8700,249.67,1,Mangueira plana 12 m,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150/232,,,
,4925-500-0841,1017.45,1,Mangueira de alta pressão DN06 20 m,,,,,RE230/RE232,,,
,4910-500-0803,865.51,1,Mangueira de alta pressão DN06 20 m,,,,,RE 145 / 150,,,
,4915-501-1000,33.5,1,"Protetor de mangueira 5,5 m D1/2"" PE",,,,,Todas as lavadoras,,,
,4915-501-1001,51.45,1,"Protetor de mangueira 7,5 m D1/2"" PE",,,,,Todas as lavadoras,,,
,4910-500-6000,182.84,1,Escova de limpeza,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,4910-500-6100,201.84,1,Kit de limpeza de veículos,,,,,RE90/95/110,,,
,4910-500-6101,229.01,1,Kit de limpeza de veículos,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,
,7030-871-0000,29,6,Detergente Multiúso 1L,,"Produto concentrado e biodegradável, indicado para limpeza de superfícies laváveis em geral, como por exemplo: calçadas, fachadas e vidros.",,,Lavadoras,,,
,4930-530-0025,63.11,1,Bico chato 127V/60Hz,,,,,RE110/145 - 127V,,,
,4950-500-1610,85.36,1,"Bico turbo Ø 1,01 mm, rot, 127V/60Hz",,,,,RE110/RE145,,,
,4950-500-0815,302.87,1,Mangueira de alta pressão,,,,,RE145,,,
,RE02-500-0900,83.61,1,Extensão da lança,,,,,RE80X/RE80/RE90/RE90 Plus/RE110/145,,,
,7030-871-0001,29,6,Detergente Automotivo 1 L,,"Produto concentrado e biodegradável, ideal para limpeza de superfícies de veículos automotores, como lataria e vidros.",,,Lavadoras,,,
,4925-500-1800,980.61,1,Dispositivo de jateamento com líquido 05,,,,,RE 232,,,
,4910-550-3500,1219,1,Lança telescópica,,,,,RE80X/RE150,,,
,4910-550-3400,561.28,1,Escova rotativa,,,,,RE80X/RE150,,,
,4910-500-3410,226.97,1,Escova rotativa / Escova de substituição,,,,,,,,
ASPIRADOR DE PÓ E LÍQUIDOS,,,,,,,,,,,,
SE 33,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. mínima,Descrição,Potência [W],Máximo Vácuo [mbar],Filtros,Volume pó no Filtro de papel [L],Volume de pó aspirado[L],,"Volume de
 líquido aspirado [L]","Peso 
[kg]"
,SE01-012-4401,949,1,"SE 33 Aspirador, 127 V",1400,210,"Lavável
Filtro Papel
Filtro Espuma",3.4,12,,9,5.3
,SE01-012-4402,949,1,"SE 33 Aspirador, 220 V",,,,,,,,5.4
ACESSÓRIOS ASPIRADORES,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Observações,,,,Modelos,,
,SE01-500-9000,104.12,1,Saco do filtro,,Filtro de papel - embalagem com 5 unidades,,,,SE33,,
,SE01-703-5900,138.14,1,Filtro,,Filtro Lavável,,,,SE33,,
,SE01-502-6900,69.75,1,Filtro de líquidos,,,,,,SE33,,
,4901-502-2400,56.9,1,Bico do tubo inclinado,,,,,,SE33,,
,4901-502-2600,67.27,1,Bico da escova,,,,,,SE33,,
,4901-502-2900,55.66,1,Bico Escova Ø 36 mm,,,,,,SE33,,
,4901-500-2610,46.53,1,Bico de limpeza do radiador,,,,,,SE33,,
,4901-502-2200,17.02,5,Bico para cantos 300 mm,,,,,,SE33,,
PULVERIZADORES A COMBUSTÃO,,,,,,,,,,,,
SR 420,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Cilindrada [cm³],Potência     [kW/CV],Distância de Pulverização [m],,Volume recipiente [L],Velocidade do ar [m/s],Volume de   ar [m³/h],Peso [kg]
,,,,,,,Horizontal,Vertical,,,,
,4203-200-0011,2469,1,SR 420 Pulverizador,56.5,"2,6 / 3,5",12,11.5,13,101,750,11.1
SR 430,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Cilindrada [cm³],Potência     [kW/CV],Distância de Pulverização [m],,Volume recipiente [L],Velocidade do ar [m/s],Volume de   ar [m³/h],Peso [kg]
,,,,,,,Horizontal,Vertical,,,,
,4244-200-0000,3099,1,SR 430 Pulverizador,63.3,"2,9 / 3,9",14.5,13,14,90,920,12.2
SR 450,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,Cilindrada [cm³],Potência     [kW/CV],Distância de Pulverização [m],,Volume recipiente [L],Velocidade do ar [m/s],Volume de   ar [m³/h],Peso [kg]
,,,,,,,Horizontal,Vertical,,,,
,4244-200-0001,3599,1,SR 450 Pulverizador,63.3,"2,9 / 3,9",14.5,13,14,90,920,12.8
ACESSÓRIOS PULVERIZADOR,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Observações,,,,Modelos,,
,4203-007-1013,579.75,1,Jogo disp.pulveriz.(atomiz./polvilhada),,,,,,SR400/SR420,,
,4203-007-1029,582.14,1,Jogo bomba de pressão (ULV),,"Com a bomba de pressão é possível uma ejecção uniforme do líquido de pulverização, independente da posição do pulverizador. Além disso, o líquido de pulverização é virado permanentemente o que evita uma separação da mistura. ",,,,SR400/420,,
,4244-007-1004,535.08,1,Jogo bomba de pressão,,,,,,SR430/450,,
,4203-007-1019,132.55,1,Jogo bico ULV,,,,,,SR400/420,,
,4244-007-1022,34.89,1,Jogo bico ULV,,,,,,SR430/450,,
PULVERIZADORES MANUAIS,,,,,,,,,,,,
SG 11,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Capacidade [L],,Pressão,,Modelo,,Peso [kg]
,4255-019-4914,109,6,SG 11 Pulverizador Manual,,1.5,,3,,SG 11,,0.41
SG 31,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Capacidade [L],,Pressão,,Modelo,,Peso [kg]
,4255-019-4932,379,1,SG 31 Pulverizador Manual,,5,,3,,SG 31,,1.3
SG 20,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Capacidade [L],,Pressão,,Modelo,,Peso [kg]
,4247-019-4900,639,1,SG 20 Pulverizador Manual Costal,,18,,7,,SG 20,,5.2
SG 71,,,,,,,,,,,,
,Código Material,Preço Real,Qtde. Min.,Descrição,,Capacidade [L],,Pressão,,Modelo,,Peso [kg]
,4255-019-4973,639,1,SG 71 Pulverizador Manual Costal,,18,,6,,SG 71,,4.8
ACESSÓRIOS PULVERIZADOR,,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Perfil do jato,Vazão (l/min),Pressão (bar),Material,Modelos,
,4255-700-6302,44.38,1,"Bico Cônico Ajustável - para utilização com cone vazado ou completo, para variadas aplicações.",,,,0.4,2,Metálico,SG31/71,
,4255-700-6303,23.47,1,"Bico Cônico Oco 2,5mm -  Bico especial com grande calibre, para fluxos elevados.",,,,2.6,2,Metálico,SG71,
,4255-700-6304,142.43,1,Bico Cônico Cheio - Bico cônico com fluxo reduzido. Ideal para uma dosagem de precisão.,,,,0.31,2,Metálico,SG71,
,4255-502-1702,20.51,1,Bico chato 80-02 - Para a aplicação em  plantações em grande escala,,,,0.65,2,Polímero,SG71,
,4255-502-1700,54.71,1,"Bico chato 80-04 - Bico de jato plano com grande calibre, para aplicações planas. Especialmente adequado para aplicar herbicidas com gotas grandes.",,,,1.31,2,Metálico,SG71/71,
,4255-502-1701,89.07,1,Bico chato 65-0025 - Bico de jato plano com calibre pequeno e fluxo reduzido para uma pulverização muito fina e direcionada.,,,,0.08,2,Metálico,SG71,
,4247-502-1001,15.94,1,Bico chato 400 cc/min 80-01 - Para a aplicação em  plantações em grande escala 400 cc/min,,,,0.32,2,Polímero,SG20,
,4255-500-8500,129.96,1,"Bico do garfo - Ideal para pulverizar superfícies
maiores ou dois arbustos em simultâneo. Direção dos bicos ajustável individualmente. 
*A vazão depende do bico a ser montado nesse suporte.",,,,*a vazão depende do bico a ser montado,2,Polimero,SG71,
,4247-500-8500,77.4,1,"Bico do garfo - Ideal para pulverizar superfícies
maiores ou dois arbustos em simultâneo. Direção dos bicos ajustável individualmente. 
*A vazão depende do bico a ser montado nesse suporte.",,,,*a vazão depende do bico a ser montado,2,Polimero,SG20,
,4255-710-9006,135.88,1,Cinturão,,,,,,,SG71,
