código_material,preço_real,descrição,modelos_compativeis
0000-007-1043,74.97,Jogo de parafusos,MS310/390/046/460/SR420/BR600
0000-007-1044,52.05,Jogo de parafusos,MS310/390/046/460/SR420/BR600
0000-007-1300,1.77,Kit Anel de vedação redondo N 4x2-EPDM70,FS55/80/85/120/130/160/220/280/290/300/350/FR220/350
0000-007-1601,11.37,Jogo de juntas de vedação,BT45/TS350/760/420/SG31
0000-007-1602,4.55,Jogo de juntas de vedação,SG31
0000-036-0200,6.1,Anel da embreagem,TS420
0000-084-0700,2.56,Rebite,MS08/025/FS160/220/280/FR220/SR400/420/TS350/P840/BG50
0000-084-6900,7.38,Peça isolante,MS651/661
0000-084-7000,3.48,Porca de fenda,MS651/661
0000-120-5111,120.33,Válvula magnética,MS362
0000-121-2300,6.64,Suporte,FS460
0000-121-2301,6.51,Suporte,MS362
0000-121-2703,21.52,Capa,MS192/210/230/250/310
0000-122-7101,15.12,Parafuso,BG/SH56/86/FC70/MS361/362/194T/462/651/661/HT133
0000-122-7102,5.77,Parafuso,FS460
0000-122-7103,15.12,Parafuso,MS362
0000-124-0800,8.83,Elemento do filtro,MS066
0000-140-4407,65.35,Filtro de ar HD2,MS650/460/660
0000-141-0300,11.7,Pré-filtro,MS046/460/066/660/650
0000-141-3200,15.68,Chapa de refrigeração,TS420
0000-141-8600,10.62,Mangueira,TS420
0000-162-3001,5.94,Suporte,TS800/MS066/660/650/651/661
0000-182-2100,9.86,"Suporte Ø 25,4 mm",FS85/86/106/108/120/160/250/KA85R/KM55/KMA135
0000-182-2101,8.98,Suporte Ø 28 mm,FS160
0000-190-2901,15.73,"Cordão de arranque Ø 4,5 mm",TS350/760
0000-190-3401,49.89,"Manípulo ElastoStart Ø 3,5 mm",MS036/FS160/220/280/SR400/420
0000-190-3402,47.16,Manípulo ElastoStart Ø 3 mm,MS210/230/250
0000-190-3403,48.09,"Manípulo ElastoStart Ø 2,7 mm",FS75/85/85R/SP80/80K/81/HT75/HS80/KA85R
0000-190-3404,49.38,Manípulo ElastoStart Ø 3 mm,FS38/HS45/KM55
0000-190-3405,47.58,Manípulo ElastoStart Ø 3 mm,BT121/FR220/350/FS120/250/300/350
0000-190-3414,62.26,Manípulo de arranque,TS350/760
0000-190-3500,42.47,Manípulo c/cordão de arranque Ø 4 mm,TS420
