col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,MA04-011-5803,1899,"MSA 60.0 C-B 1/4""P Motosserra à bateria",1,AK 20,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",14,2.5,1,,,,
,,,MA04-011-5812,2909,"MSA 60.0 C-B 1/4""P SET Motosserra à  bateria",1,,"Bateria AK 20
Carregador AL 101 - 220V",220V,,,,,3.7,1,,,,
,,,MA04-011-5813,2909,"MSA 60.0 C-B 1/4""P SET Motosserra à  bateria",1,,"Bateria AK 20
Carregador AL 101 - 127V",127V,,,,,3.7,1,,,,
MSA 70.0 C,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),"Sabres
(cm)",Corrente,Velocidade da corrente [m/s],"Peso 
[kg]",,,,,
,,,MA04-011-5819,2099,"MSA 70.0 C-B 1/4""P Motosserra à bateria",1,AK 30,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",14,2.5,,,,,
,,,MA04-011-5828,3409,"MSA 70.0 C-B 1/4""P SET Motosserra à  bateria",1,,"Bateria AK 30
Carregador AL 101 - 220V",220V,,,,,3.7,,,,,
,,,MA04-011-5829,3409,"MSA 70.0 C-B 1/4""P SET Motosserra à  bateria",1,,"Bateria AK 30
Carregador AL 101 - 127V",127V,,,,,3.7,,,,,
MSA 161 T,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Sabres (cm),Corrente,Velocidade da corrente [m/s],"Peso 
[kg]",,,,,
,,,1252-200-0054,3199,"MSA 161 T Motosserra à bateria,30cm/12""",1,AP 200 S,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",16,2.5,,,,,
MSA 160.0 C-B,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Sabres (cm),Corrente,Velocidade da corrente [m/s],"Peso 
[kg]",,,,,
,,,MA03-200-0001,2199,MSA 160.0 C-B Motosserra à bateria,1,AP 300S,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",16,3.1,,,,,
MSA 200.0 C-B,,,,,,,,,,,,,,,,,,,
