col,col,código_material,preço_real,qtde_min,descrição,cilindrada_cm³,pot,col,peso,conjunto_de_corte
,,,,,,,kW,CV,,
,,4140-200-0598,1149,2,"FS 38 Roçadeira,AutoCut C6-2",27.2,0.65,0.9,4.1,AutoCut C 6-2
FS 55 R,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4140-200-0601,1359.01,2,"FS 55 R Roçadeira,GC 230-2",27.2,0.75,1,4.4,2 facas 230mm
,,4140-200-0602,1459,2,"FS 55 R Roçadeira,AutoCut C 26-2",,,,,AutoCut C 26-2
FS 55,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4140-200-0599,1498.99,2,"FS 55 Roçadeira,GC 230-2",27.2,0.75,1,4.8,2 facas 230mm
,,4140-200-0600,1568.99,2,"FS 55 Roçadeira,AutoCut C 26-2",,,,,AutoCut C 26-2
FS 80,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4137-200-0318,1999,1,"FS 80 Roçadeira,DM 250-3",25.4,0.95,1.3,5,3 facas 250mm
,,4137-200-0328,1979,1,"FS 80 Roçadeira,GSB 230-2",25.4,0.95,1.3,5.2,2 facas 230mm
,,4137-200-0394,2029,1,"FS 80 Roçadeira,TrimCut 32-2",25.4,0.95,1.3,5.2,TrimCut 32-2
FS 85,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4137-200-0320,2099,1,"FS 85 Roçadeira,DM 250-3",25.4,0.95,1.3,5.2,3 facas 250mm
,,4137-200-0321,2069,1,"FS 85 Roçadeira,GSB 230-2",25.4,0.95,1.3,5.2,2 facas 230mm
,,4137-200-0395,2139,1,"FS 85 Roçadeira,TrimCut 32-2",25.4,0.95,1.3,5.2,TrimCut 32-2
FS 120,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4134-200-0396,1999,2,"FS 120 Roçadeira,DM 250-3",30.8,1.3,1.8,6.3,3 facas 250mm
,,4134-200-0397,1989,2,"FS 120 Roçadeira,GSB 230-2",30.8,1.3,1.8,6.3,2 facas 230mm
,,4134-200-0458,2019,2,"FS 120 Roçadeira,TrimCut 32-2",30.8,1.3,1.8,6.3,TrimCut 32-2
FS 131,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4180-200-0647,3199,2,"FS 131 Roçadeira,DM 250-3",36.3,1.4,1.9,5.8,3 facas 250mm
FS 161,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4147-200-0503,2999,1,FS 161-L Roçadeira Lâmina 2 facas especi,37.7,1.5,2.039,7.5,2 facas 305mm - Blindada
,,4147-200-0502,2989,1,FS 161-L Roçadeira Lâmina 3 facas,,,,,3 facas 300mm
,,4147-200-0501,2969,1,FS 161-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2
FS 221,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4147-200-0506,3499,1,FS 221-L Roçadeira Lâmina 3 facas,37.7,1.7,2.31,7.7,3 facas 300mm
,,4147-200-0504,3529,1,FS 221-L Roçadeira Lâmina 2 facas especi,,,,,2 facas 305mm - Blindada
,,4147-200-0505,3439,1,FS 221-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2
FS 291,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4147-200-0508,3999,1,FS 291-L Roçadeira Lâmina 3 facas,41.6,2,2.68,8,3 facas 300mm
,,4147-200-0507,4039,1,FS 291-L Roçadeira Lâmina 2 facas especial,,,,,2 facas 305mm - Blindada
,,4147-200-0510,3949,1,FS 291-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2
,,4147-200-0509,4049,1,FS 291-L Roçadeira Serra circular 225-24,,,,,Serra 225mm - Especial
FS 351,,,,,,,,,,
,,"Código
Material","Preço
Real","Qtde.
Min.",Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4147-200-0512,3899,1,FS 351-L Roçadeira Lâmina 3 facas,37.7,1.7,2.31,8.8,3 Facas 300mm
,,4147-200-0511,3939,1,FS 351-L Roçadeira Lâmina 2 facas especial,,,,,2 Facas de aço 305-2 Especial
,,4147-200-0513,3859,1,FS 351-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2
FS 460,,,,,,,,,,
