col,código_material,preço_real,descrição,modelos_maquinas
SABRES,,,,
,DUROMATIC,,,
,3002-001-9223,369.84,"Sabre D 53cm/21"" 1,6mm/0.063""",MS08/051/076
,3002-001-9231,425.04,"Sabre D 63cm/25"" 1,6mm/0.063"" 404""",MS051/076/08
,3002-001-8041,491.28,"Sabre D 75cm/30"" 1,6mm/0.063""",MS051/076
,3003-001-9207,259.44,"Sabre D 33cm/13"" 1,6mm/0.063"" 3/8""",MS310/361/260/362/382
,3003-001-9213,298.09,"Sabre D 40cm/16"" 1,6mm/0.063"" 3/8""",MS310/362/382/460/650/660
,3003-001-9221,353.29,"Sabre D 50cm/20"" 1,6mm/0.063""",MS034/038/066/460/650/660/362/382
,3003-001-5631,425.04,"Sabre D 63cm/25"" 1,6mm/0.063""",MS460/650/660
,3003-001-9241,491.28,"Sabre D 75cm/30"" 1,6mm/0.063""",MS064/066/650/660
,3003-000-8453,694.79,"Sabre D 90cm/36"" 1,6mm/0.063""",MS651/661
,ROLLOMATIC ES,,,
,3003-001-9406,282.45,"Sabre S 32cm/13"" 1,6mm/0.063"" 3/8""",MS310/260/361/382
,3003-001-9413,312.99,"Sabre S 40cm/16"" 1,6mm/0.063"" 3/8""",MS310/260/361/362/382
,3003-001-9421,370.92,"Sabre S 50cm/20"" 1,6mm/0.063"" 3/8""",MS310/260/361/362/382/460/650/660
,3003-001-9431,446.29,"Sabre S 63cm/25"" 1,6mm/0.063"" 3/8""",M460/650/660
,3003-001-6041,515.85,"Sabre S 75cm/30"" 1,6mm/0.063"" 3/8""",MS650/660
,ROLLOMATIC E,,,
,3005-000-3905,160.72,"Sabre R 30cm/12"" 1,1mm/0.043"" 3/8"" P",HT75/133/KA85R/KM55R/KM85R/MS170/MS180/180C/MS193T/MSE141
,3005-003-3909,165.32,"Sabre R 35cm/14"" 1,1mm/0.043"" 3/8"" P",MS180/MS172
,3003-008-6813,218.95,"Sabre R 40cm/16"" 1,6mm/0.063"" .325""",MS260
,3003-000-5221,264.96,"Sabre R 50cm/20"" 1,6mm/0.063"" 3/8""",MS310/260/361/362/382/460/650/660
,3005-008-3405,154.32,"Sabre L01 30cm/12"" 1,1mm/0.043"" 1/4""P",MSA120/160/200/160T/HTA85/HT133/HT75
,3005-008-3409,187.95,"Sabre L01 35cm/14"" 1,1mm/0.043"" 1/4""P",MSA200
,3005-000-4413,212.91,"Sabre L04 40cm/16"" 1,1mm/0.043"" 3/8"" P",MSA 220.0 C-B
,3005-000-4805,187.95,"Sabre L04 30cm/12"" 1,3mm/0.050"" 3/8""P",MS210/230/250/MSE170/HT70K
,3005-000-4809,193.2,"Sabre L04 35cm/14"" 1,3mm/0.050"" 3/8""P",MS210/230/250/MSE170/MSA220
,3005-000-4813,212.91,"Sabre L04 40cm/16"" 1,3mm/0.050"" 3/8""P",MS/182/210/212/230/250/MSE170
,3003-000-5306,219.44,"Sabre L04 32cm/13"" 1,6mm/0.063"" .325""",MS260
